X Y Salida
19.6 0.2 0.346454269878
19.8 0.2 0.346732193813
20.0 0.2 0.347009902502
0 0.4 0.318922226165
0.2 0.4 0.319200141937
0.4 0.4 0.319478310085
0.6 0.4 0.319756725434
0.8 0.4 0.320035382777
1.0 0.4 0.320314276882
1.2 0.4 0.320593402487
1.4 0.4 0.320872754307
1.6 0.4 0.321152327029
1.8 0.4 0.321432115318
2.0 0.4 0.321712113816
2.2 0.4 0.321992317146
2.4 0.4 0.322272719907
2.6 0.4 0.322553316684
2.8 0.4 0.32283410204
3.0 0.4 0.323115070525
3.2 0.4 0.323396216672
3.4 0.4 0.323677535003
3.6 0.4 0.323959020025
3.8 0.4 0.324240666235
4.0 0.4 0.324522468119
4.2 0.4 0.324804420158
4.4 0.4 0.325086516821
4.6 0.4 0.325368752574
